festival,edition_year,package_id,event_id,accommodation_id,package_name,main_category,category_title,basic_sale_price_eur,basic_sale_price_cents,currency,regular_stay_from_date,regular_stay_until_date,extended_stay_from_date,extended_stay_until_date,bookable,show_price,sold_out,wishlist_only,ticket_descriptions,deposit_note,source_url_hint,source_file,confidence
Awakenings Festival,2025,1119,135,388,Friends Field,Camping,Friends Field - Grand Camping and Comfort Camping,67.5,6750,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1115,135,280,The Awakenings Pick-up Tent,Camping,The Grand Camping,75,7500,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1116,135,353,The Awakenings Pre-set up Tent,Camping,The Grand Camping,210,21000,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,true,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €75,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1112,135,288,The Boss,Camping,The Comfort camping,410,41000,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €150,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1133,135,407,The Cohen,Camping,The Grand Camping,195,19500,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €150,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1134,135,408,The Dolly,Camping,The Comfort camping,725,72500,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €150,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1114,135,287,The Elvis,Camping,The Comfort camping,450,45000,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €150,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1117,135,359,The Festipi,Camping,The Grand Camping,255,25500,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €150,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1118,135,351,The Queen,Camping,The Grand Camping,275,27500,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €150,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
Awakenings Festival,2025,1113,135,352,The Who,Camping,The Comfort camping,495,49500,EUR,2025-07-11,2025-07-14,2025-07-11,2025-07-14,false,false,true,false,No Ticket Weekend (API),deposit/additional fee mentioned: deposit of €150,https://www.awakenings.com/en/shop/awakenings-festival-2025-weekend/367651,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\awakenings_capture_2025\awakenings_current_www.awakenings.com_en_shop_awakenings-festival-2025-weekend_367651\Awakenings_Summer_Festival_https_d1tbov4skw93c6.cloudfront.net_3cac7f43b0408c7fa7849194c95587ee_en_packages.txt,current_official_shop_json_accommodation_package
