festival,edition_year,page_url,response_url,status,content_type,saved_body,body_preview,error,captured_at
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,200,text/html; charset=utf-8,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000355_https_belgium.tomorrowland.com_en_line-up.txt,"<!DOCTYPE html><html><head><script src=""https://web-static.archive.org/_static/js/athena.js"" type=""text/javascript""></script>
<script type=""text/javascript"">window.addEventListener('DOMContentLoaded',function(){var v=archive_analytics.values;v.service='wb';v.server_name='wwwb-app204.us.archive.org';v.server_ms=1283;archive_analytics.send_pageview({});});</script>
<script type=""text/javascript"" src=""https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0"" charset=""utf-8""></script>",,2026-06-21T06:24:11+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355jm_/https://components.tomorrowland.com/tml-live-lineup/live-lineup-base.js,200,application/javascript,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000355jm__https_components.tomorrowland.com_tml-live-lineup_live-l.txt,"var _____WB$wombat$assign$function_____=function(name){return (globalThis._wb_wombat && globalThis._wb_wombat.local_init && globalThis._wb_wombat.local_init(name))||globalThis[name];};if(!globalThis.__WB_pmw){globalThis.__WB_pmw=function(obj){this.__WB_source=obj;return this;}}var window = _____WB$wombat$assign$function_____(""window"");
var self = _____WB$wombat$assign$function_____(""self"");
var document = _____WB$wombat$assign$function_____(""document"");
var location = _____WB$wombat$assign$funct",,2026-06-21T06:24:12+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/http://web.archive.org/screenshot/https://belgium.tomorrowland.com/en/line-up/,404,text/html,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000355_http_web.archive.org_screenshot_https_belgium.tomorrowland..txt,,,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/__wb/sparkline?output=json&url=https%3A%2F%2Fbelgium.tomorrowland.com%2Fen%2Fline-up%2F&collection=web&nav=20250720000355,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org___wb_sparkline_output_json_url_https_3A_2F_2Fbelgium.tomorrowland.com_2Fen_2Fl.txt,"{""years"":{""2024"":[0,0,0,0,4,5,4,3,2,1,1,7],""2025"":[7,4,2,3,1,5,16,36,2,4,3,2],""2026"":[2,3,3,0,3,2,0,0,0,0,0,0]},""first_ts"":""20240521211316"",""last_ts"":""20260619080300"",""status"":{""2024"":""444422222222"",""2025"":""222222222222"",""2026"":""222422444444""},""nav"":{""next"":""20250725200756"",""prev"":""20250718180808"",""monthPrev"":""20250609171328"",""monthNext"":""20250820054816"",""yearPrev"":""20240620051554"",""yearNext"":null}}",,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://wayback-api.archive.org/services/context/notices?url=https%3A%2F%2Fbelgium.tomorrowland.com%2Fen%2Fline-up%2F&timestamp=20250720000355,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_wayback-api.archive.org_services_context_notices_url_https_3A_2F_2Fbelgium.tomorrowland.com_2F.txt,"{""status"":""success"",""notices"":[]}",,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://archive.org/includes/donate.php?as_page=1&platform=wb&referer=https%3A//web.archive.org/web/20250720000355/https%3A//belgium.tomorrowland.com/en/line-up/,200,text/html; charset=UTF-8,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_archive.org_includes_donate.php_as_page_1_platform_wb_referer_https_3A_web.archive.org_web_202.txt,"<!DOCTYPE html>
  <html lang=""en"" class=""donation-banner-iframe"">
    <head><title>Donate</title><style>body{margin:0}</style>
    <meta name=""viewport"" content=""width=device-width, initial-scale=1"">
      <script src=""https://archive.org/includes/jquery-1.10.2.min.js""></script>
      <script src=""https://archive.org/components/npm/@babel/polyfill/dist/polyfill.min.js""></script>
      <script src=""https://archive.org/includes/athena.js""></script>
          <script src=""//archive.org/includes/bui",,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213446/https://plausible-e0yuv-u38524.vm.elestio.app/js/script.tagged-events.js,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/line-up.json?language=en&uid=line-up,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213447/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/welcome.json?language=en&uid=welcome,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213447_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213447/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/dd45d4ed-9f2f-45ae-ac9d-9f869bbb9dba"",""author"":4,""blocks"":[{""background"":{""type"":{""value"":""video"",""label"":""Video"",""key"":""video""},""image"":null,""video"":""https://web.archive.org/web/20250719213447/https://web-video-assets.tomorrowland.com/HEADER_GA_4MB.mp4""},""title"":""Tomorrowland Belgium"",""subtitle"":""De Schorre • Boom, Belgium"",""description"":null,""buttons"":[],""",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213447/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/passes-packages.json?language=en&uid=passes-packages,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213447_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213447/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/88fe08d0-6435-446d-941b-70a4ce2d9430"",""author"":4,""blocks"":[{""background"":{""type"":{""value"":""image"",""label"":""Image"",""key"":""image""},""image"":{""id"":""assets::back/240727_201055_tml24_8088_jb.jpg"",""url"":""https://web.archive.org/web/20250719213447/https://tlbe-assets.prod.tomorrowland.com/back/240727_201055_tml24_8088_jb.jpg"",""permalink"":""https://web.archive.org/web",,2026-06-21T06:24:14+00:00
