artist_name,genre_name,source,confidence,source_url
1991,comedy drama,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
1991,contemporary r&b,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
1991,drum and bass,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
1991,edm trap music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
1991,hip house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
1991,hip-hop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
1991,new wave,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
ALOK,deep house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
ALOK,electro house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
ALOK,electronic dance music,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
ALOK,future bass,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
ALOK,progressive house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
ALOK,tech house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
ALOK,tropical house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
ANNA,nu metal,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Aaron Sevilla,afro house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Aaron Sevilla,house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Aaron Sevilla,latin house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Aaron Sevilla,organic house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Aaron Sevilla,tech house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Aaron Sevilla,tribal house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Adam Beyer,techno,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Adrenalize,glam metal,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Adrenalize,glam rock,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Adrenalize,hardstyle,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Afrojack,electro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Afrojack,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Afrojack,moombahton,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Agents of Time,house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Agents of Time,melodic house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Agents of Time,melodic techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Agents of Time,minimal techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Agents of Time,progressive house,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Agents of Time,progressive trance,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Airod,hard techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Airod,techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Ajna,pop music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alan Walker,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alan Walker,electropop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alan Walker,progressive house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alan Walker,romantic music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Albert Harvey,contemporary r&b,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Albert Harvey,dance-pop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Albert Harvey,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Albert Harvey,electropop,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Albert Harvey,pop music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alex Wann,afro house,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alexander Popov,biographical film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alexander Popov,drama film,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Alexander Popov,trance,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Amber Broos,techno,MusicBrainz artist tag,community_tag_top_result,https://musicbrainz.org/doc/MusicBrainz_API
Amelie Lens,electronic dance music,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Amelie Lens,techno,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
Anders,contemporary r&b,Wikidata SPARQL P136,structured_exact_label,https://query.wikidata.org/
