festival,edition_year,weekend_code,official_performance_id,performance_name,official_stage_id,stage_name,official_artist_ids,artist_names,performance_date,day_name,start_time_local,end_time_local,source_file,capture_timestamp,source_url_hint
Tomorrowland,2025,W1,2043274751,RUBY XX,1784482349,THE GATHERING,1790332875,RUBY XX,2025-07-17,THURSDAY,2025-07-17 13:00:00+02:00,2025-07-17 14:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043276072,Chanelle,1784482349,THE GATHERING,1536101946,DJ Chanelle,2025-07-17,THURSDAY,2025-07-17 14:00:00+02:00,2025-07-17 15:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043459340,Muze,2043457055,THE GATHERING - STAGE II,1393098954,Muze,2025-07-17,THURSDAY,2025-07-17 14:00:00+02:00,2025-07-17 16:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043277494,Lucca van Damme,1784482349,THE GATHERING,1532641779,Lucca van Damme,2025-07-17,THURSDAY,2025-07-17 15:00:00+02:00,2025-07-17 16:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043277841,5napback,1784482349,THE GATHERING,1536107912,5napback,2025-07-17,THURSDAY,2025-07-17 16:00:00+02:00,2025-07-17 17:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043461008,Laura Hoogland,2043457055,THE GATHERING - STAGE II,1536180942,Laura Hoogland,2025-07-17,THURSDAY,2025-07-17 16:00:00+02:00,2025-07-17 18:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043278275,Portex,1784482349,THE GATHERING,1393192558,Portex,2025-07-17,THURSDAY,2025-07-17 17:00:00+02:00,2025-07-17 18:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043279429,Henri PFR,1784482349,THE GATHERING,1262703272,Henri PFR,2025-07-17,THURSDAY,2025-07-17 18:00:00+02:00,2025-07-17 19:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043462117,Luna & Lenthe,2043457055,THE GATHERING - STAGE II,1536162340,Luna & Lenthe,2025-07-17,THURSDAY,2025-07-17 18:00:00+02:00,2025-07-17 20:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,W1,2043281888,Odymel,1784482349,THE GATHERING,1536171891,Odymel,2025-07-17,THURSDAY,2025-07-17 19:00:00+02:00,2025-07-17 20:00:00+02:00,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
