festival,edition_year,official_stage_id,stage_name,hosts_by_date,source_file,capture_timestamp,source_url_hint
Tomorrowland,2025,1784482154,ATMOSPHERE,2025-07-18: TELETECH; 2025-07-19: ARTCORE; 2025-07-20: EXHALE; 2025-07-27: AMBER BROOS,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784481973,CAGE,2025-07-18: FOOTWORXX; 2025-07-25: FOOTWORXX; 2025-07-26: He.She.They,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482189,CORE,2025-07-19: CURATED BY MIND AGAINST; 2025-07-20: HOSTED BY COLOUR CLUB; 2025-07-25: CURATED BY DIXON,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482230,CRYSTAL GARDEN,2025-07-20: MAGNIFIK; 2025-07-26: CATCH & RELEASE,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784481918,ELIXIR,2025-07-18: FLAVÃSOUL; 2025-07-19: TEAM DAMP; 2025-07-20: RADS; 2025-07-25: MANGROVE; 2025-07-26: VUNZIGE DEUNTJES; 2025-07-27: LEMONADE,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784481821,FREEDOM BY BUD,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784481754,HOUSE OF FORTUNE BY JBL,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784481711,MAINSTAGE,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482305,MELODIA BY CORONA,2025-07-19: CHITCHAT; 2025-07-20: THE CUCKOO'S NEST; 2025-07-25: DISCO ZONDERDAG; 2025-07-27: WITH LOVE FROM IBIZA,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784481791,MOOSEBAR,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482074,PLANAXIS,2025-07-19: MONSTERCAT; 2025-07-20: 2010 - 2012 & Super You &Me present; 2025-07-26: PSYGATHERING; 2025-07-27: 2010 - 2012,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482114,RISE BY COCA-COLA,2025-07-18: CAFEÍNA; 2025-07-19: BRESH; 2025-07-20: PSYGATHERING; 2025-07-26: YVES V PRESENTS V SESSIONS,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482349,THE GATHERING,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,2043457055,THE GATHERING - STAGE II,,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482266,THE GREAT LIBRARY,2025-07-19: LOST FREQUENCIES & FRIENDS; 2025-07-20: SMASH THE HOUSE; 2025-07-26: LOST FREQUENCIES & FRIENDS; 2025-07-27: SMASH THE HOUSE,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784482029,THE RAVE CAVE,2025-07-19: CRYSTAL; 2025-07-20: RAVE ALERT; 2025-07-27: WE ARE ONE WORLD,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
Tomorrowland,2025,1784481872,THE ROSE GARDEN,2025-07-18: ANDROMEDIK INVITES; 2025-07-19: BONZAI; 2025-07-20: TWEEKAMANIA; 2025-07-25: RAMPAGE; 2025-07-26: TRIBUTE TO BELGIUM: ILLUSION; 2025-07-27: SUB ZERO PROJECT & FRIENDS,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,20250719183439,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json
