site_id,site_name,total_affected_population
47,Park van Eden,266635
26,Oude Warande,216440
27,Wandelbos,206140
34,Spoorpark,194279
35,Kromhoutpark,190300
31,Park Zandbergen,182533
19,Wandelgebied Moerenburg,180123
32,OSM candidate site 509058462,178286
37,Frijthout,177783
29,Quirijnstokpark,177573
17,Het Leijpark,176967
40,Drijflanen,173857
3,Hilvarenbeek lake recreation candidate,171539
39,Speelbos,171065
38,Reeshofbos,152978
28,Park Romeinse Put,143350
10,Altena,136601
1,Boom recreation candidate near De Schorre,126388
9,park Hove,117996
25,Den Akker,115231
14,Tivolipark,105644
41,Reeshofpark,104971
11,Gemeentelijk Park Boom,103600
43,Provinciaal Domein De Schorre,97997
13,Parkdomein Hof Ter Zielbeek,90925
18,Domein Roosendael,85917
36,Kasteeldomein Wissekerke,72967
12,Park 's Heerenbeemden,71382
5,Kempen rural recreation candidate,69951
30,Provinciaal Groendomein d'Ursel,69924
50,Lake Resort Beekse Bergen,57511
8,Muggenbergpark,56791
16,Park Fort Liezele,52017
42,Krombeemden,43702
23,Molecaten Parc Flevostrand,33166
33,Camping De Scheepsbel,30152
48,Camping Landgoed Old Putten,29824
2,Biddinghuizen event-field candidate,27507
44,Camping de Witte Wieven,26202
22,Camping Polsmaten,23067
21,"Camping/Jachthaven ""de Oude Pol""",21729
24,Camping Veluwemeer,20105
20,Aqua Centrum Bremerbergse Hoek,15818
49,De Spaendershorst,14691
15,De Gerrithoeve,12934
46,Tulderheyde,8370
45,De Ruimte,5789
4,Flevoland open grassland candidate,1861
6,De Schulp,1781
7,De Edelkarper,1012
