score_rank,site_id,name,terrain_type,area_sqm,is_manual_sample,evaluated_at,airport_score,population_score,ecology_safety_score,noise_safety_score,total_score,nearest_airport_name,nearest_airport_city,nearest_airport_country,nearest_airport_m,nearest_airport_km,airport_count_80km,raw_population_25km,weighted_population_25km,population_grid_count_25km,nearest_ecology_name,nearest_ecology_type,nearest_ecology_m,nearest_ecology_km,intersects_protected_area,nearest_sensitive_name,nearest_sensitive_type,nearest_sensitive_level,nearest_sensitive_m,nearest_sensitive_km,high_sensitive_count_3km,high_sensitive_count_5km,method_note,data_source
1,5,Kempen rural recreation candidate,grass_recreation,680000.00,t,2026-06-21,90.83,25.85,0.00,100.00,58.71,Vliegveld Weelde,,,9172,9.17,17,744732,59579,2431,Kempen wetland protected-area sample,Natura 2000 sample,0,0.00,t,Samenwijs Torenlei,school,4,16940,16.94,0,0,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=9172, sensitive_m=16940, ecology_m=0, weighted_population_25km=59579",Manual candidate away from existing festival venues for comparison.
2,4,Flevoland open grassland candidate,grass,760000.00,t,2026-06-21,98.89,24.04,5.28,86.72,58.41,Lelystad Airport,,,1108,1.11,6,692552,55404,2434,Veluwerandmeren,C,5279,5.28,f,De Tamarisk,school,4,8672,8.67,0,0,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=1108, sensitive_m=8672, ecology_m=5279, weighted_population_25km=55404",Manual candidate away from existing festival venues for comparison.
3,23,Molecaten Parc Flevostrand,camp_site,190614.89,f,2026-06-21,89.21,20.10,0.10,88.44,53.92,Lelystad Airport,,,10794,10.79,6,579113,46329,2124,Veluwerandmeren,C,103,0.10,f,Biddinghuizen residential center,residential,4,8844,8.84,0,0,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=10794, sensitive_m=8844, ecology_m=103, weighted_population_25km=46329","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
4,14,Tivolipark,park,112764.30,f,2026-06-21,87.90,100.00,1.25,0.40,51.72,Grimbergen Lint,,,12095,12.10,14,2881039,230483,2104,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,1254,1.25,f,BuSO De Beemden (Opleidingsvorm 1),school,4,40,0.04,27,35,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=12095, sensitive_m=40, ecology_m=1254, weighted_population_25km=230483","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
5,1,Boom recreation candidate near De Schorre,recreation_ground,620000.00,t,2026-06-21,89.22,89.46,0.00,0.00,49.13,Internationale Luchthaven Antwerpen,,,10781,10.78,14,2577444,206196,2324,Rupel river valley protected-area sample,Natura 2000 sample,0,0.00,t,Boom town residential center,residential,4,0,0.00,46,82,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=10781, sensitive_m=0, ecology_m=0, weighted_population_25km=206196",Manual sample based on the plan's OSM candidate-site categories; for workflow validation.
6,18,Domein Roosendael,park,111863.49,f,2026-06-21,87.05,87.26,0.60,3.51,48.93,Internationale Luchthaven Antwerpen,,,12949,12.95,14,2514021,201122,2097,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,597,0.60,f,GO! BS De Zonnebergen,school,4,351,0.35,20,47,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=12949, sensitive_m=351, ecology_m=597, weighted_population_25km=201122","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
7,16,Park Fort Liezele,park,111382.42,f,2026-06-21,84.77,91.28,0.01,2.58,48.90,Grimbergen Lint,,,15231,15.23,11,2629902,210392,2108,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,9,0.01,f,GO! Basisschool 't Kasteeltje,school,4,258,0.26,12,26,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=15231, sensitive_m=258, ecology_m=9, weighted_population_25km=210392","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
8,12,Park 's Heerenbeemden,park,51751.69,f,2026-06-21,87.13,87.63,2.71,0.17,48.63,Internationale Luchthaven Antwerpen,,,12873,12.87,14,2524739,201979,2089,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,2705,2.71,f,Villa Kakelbont,school,4,17,0.02,11,60,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=12873, sensitive_m=17, ecology_m=2705, weighted_population_25km=201979","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
9,43,Provinciaal Domein De Schorre,park,696474.52,f,2026-06-21,88.18,82.65,1.11,3.79,48.29,Internationale Luchthaven Antwerpen,,,11821,11.82,14,2381115,190489,2154,Rupel river valley protected-area sample,Natura 2000 sample,1110,1.11,f,Boom town residential center,residential,4,379,0.38,34,63,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=11821, sensitive_m=379, ecology_m=1110, weighted_population_25km=190489","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
10,6,De Schulp,park,194437.52,f,2026-06-21,90.27,17.62,1.28,64.41,47.84,Lelystad Airport,,,9733,9.73,5,507523,40602,2119,Veluwerandmeren,C,1281,1.28,f,Biddinghuizen residential center,residential,4,6441,6.44,0,0,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=9733, sensitive_m=6441, ecology_m=1281, weighted_population_25km=40602","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
11,13,Parkdomein Hof Ter Zielbeek,park,182994.95,f,2026-06-21,85.56,88.31,0.00,0.12,47.78,Internationale Luchthaven Antwerpen,,,14441,14.44,12,2544361,203549,2121,Rupel river valley protected-area sample,Natura 2000 sample,0,0.00,t,Sint-Carolus,school,4,12,0.01,30,63,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=14441, sensitive_m=12, ecology_m=0, weighted_population_25km=203549","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
12,15,De Gerrithoeve,camp_site,65569.61,f,2026-06-21,86.55,46.53,0.34,37.71,47.09,Eindhoven Airport,Eindhoven,Netherlands,13446,13.45,13,1340566,107245,2089,Kampina & Oisterwijkse Vennen,B,337,0.34,f,2College EOA Oisterwijk,school,4,3771,3.77,0,10,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=13446, sensitive_m=3771, ecology_m=337, weighted_population_25km=107245","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
13,7,De Edelkarper,park,302819.16,f,2026-06-21,92.04,17.09,3.12,56.21,46.56,Lelystad Airport,,,7958,7.96,6,492235,39379,2127,Veluwerandmeren,C,3123,3.12,f,Biddinghuizen residential center,residential,4,5621,5.62,0,0,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=7958, sensitive_m=5621, ecology_m=3123, weighted_population_25km=39379","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
14,31,Park Zandbergen,park,239301.58,f,2026-06-21,94.92,64.27,1.72,5.19,46.19,Internationale Luchthaven Antwerpen,,,5082,5.08,14,1851703,148136,2122,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,1715,1.72,f,Onze-Lieve-Vrouw van Lourdescollege,school,4,519,0.52,26,52,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=5082, sensitive_m=519, ecology_m=1715, weighted_population_25km=148136","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
15,11,Gemeentelijk Park Boom,park,296963.81,f,2026-06-21,88.91,76.72,0.54,0.43,46.07,Internationale Luchthaven Antwerpen,,,11090,11.09,14,2210222,176818,2151,Rupel river valley protected-area sample,Natura 2000 sample,537,0.54,f,De Reuzenboom,school,4,43,0.04,31,64,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=11090, sensitive_m=43, ecology_m=537, weighted_population_25km=176818","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
16,32,OSM candidate site 509058462,park,66522.55,f,2026-06-21,95.47,63.18,1.39,4.91,45.94,Internationale Luchthaven Antwerpen,,,4532,4.53,14,1820156,145612,2097,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,1386,1.39,f,Koninklijk Technisch Atheneum Da Vinci,school,4,491,0.49,25,46,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=4532, sensitive_m=491, ecology_m=1386, weighted_population_25km=145612","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
17,28,Park Romeinse Put,park,84630.43,f,2026-06-21,95.45,63.18,2.07,1.41,45.20,Internationale Luchthaven Antwerpen,,,4552,4.55,14,1820309,145625,2099,Bos- en heidegebieden ten oosten van Antwerpen,B,2074,2.07,f,Benito,school,4,141,0.14,27,44,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=4552, sensitive_m=141, ecology_m=2074, weighted_population_25km=145625","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
18,8,Muggenbergpark,park,90910.44,f,2026-06-21,89.13,71.42,1.57,1.02,45.16,Internationale Luchthaven Antwerpen,,,10871,10.87,15,2057495,164600,2101,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,1572,1.57,f,Sint-Norbertusinstituut,school,4,102,0.10,8,25,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=10871, sensitive_m=102, ecology_m=1572, weighted_population_25km=164600","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
19,10,Altena,park,63569.28,f,2026-06-21,94.53,64.19,2.81,0.74,45.15,Internationale Luchthaven Antwerpen,,,5470,5.47,14,1849408,147953,2100,Bos- en heidegebieden ten oosten van Antwerpen,B,2810,2.81,f,Altena Instituut Kontich,school,4,74,0.07,26,48,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=5470, sensitive_m=74, ecology_m=2810, weighted_population_25km=147953","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
20,47,Park van Eden,park,208020.54,f,2026-06-21,94.60,62.55,0.52,3.96,45.11,Internationale Luchthaven Antwerpen,,,5403,5.40,14,1802206,144176,2114,Historische fortengordels van Antwerpen als vleermuizenhabitat.,B,515,0.52,f,Wonderwareld,school,4,396,0.40,12,35,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=5403, sensitive_m=396, ecology_m=515, weighted_population_25km=144176","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
21,37,Frijthout,park,215170.28,f,2026-06-21,96.93,62.33,1.23,0.77,45.10,Internationale Luchthaven Antwerpen,,,3074,3.07,15,1795656,143652,2116,Bos- en heidegebieden ten oosten van Antwerpen,B,1228,1.23,f,Kleuterschool,school,4,77,0.08,19,33,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=3074, sensitive_m=77, ecology_m=1228, weighted_population_25km=143652","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
22,9,park Hove,park,83098.09,f,2026-06-21,95.16,63.81,0.81,1.50,45.04,Internationale Luchthaven Antwerpen,,,4841,4.84,15,1838290,147063,2100,Bos- en heidegebieden ten oosten van Antwerpen,B,814,0.81,f,Kinderdagverblijf Kwitje,school,4,150,0.15,29,35,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=4841, sensitive_m=150, ecology_m=814, weighted_population_25km=147063","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
23,46,Tulderheyde,camp_site,224718.01,f,2026-06-21,89.65,34.34,0.00,36.44,44.59,Vliegveld Weelde,,,10350,10.35,17,989389,79151,2123,"Arendonk, Merksplas, Oud-Turnhout, Ravels en Turnhout",A,0,0.00,t,Samenwijs Torenlei,school,4,3644,3.64,0,4,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=10350, sensitive_m=3644, ecology_m=0, weighted_population_25km=79151","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
24,25,Den Akker,park,64288.56,f,2026-06-21,89.61,64.62,0.43,4.30,44.20,Internationale Luchthaven Antwerpen,,,10386,10.39,12,1861766,148941,2092,Durme en Middenloop van de Schelde,A,431,0.43,f,Gemeentelijke Basisschool De Regenboog,school,4,430,0.43,16,39,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=10386, sensitive_m=430, ecology_m=431, weighted_population_25km=148941","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
25,30,Provinciaal Groendomein d'Ursel,park,297320.36,f,2026-06-21,84.25,71.69,0.80,1.67,43.78,Internationale Luchthaven Antwerpen,,,15748,15.75,11,2065485,165239,2119,Durme en Middenloop van de Schelde,A,802,0.80,f,Huveneersschool Hingene,school,4,167,0.17,9,33,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=15748, sensitive_m=167, ecology_m=802, weighted_population_25km=165239","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
26,36,Kasteeldomein Wissekerke,park,59229.86,f,2026-06-21,87.94,62.68,0.02,1.42,42.41,Internationale Luchthaven Antwerpen,,,12061,12.06,11,1805788,144463,2089,Durme en Middenloop van de Schelde,A,18,0.02,f,Vrije Basisschool Sint-Petrus,school,4,142,0.14,10,25,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=12061, sensitive_m=142, ecology_m=18, weighted_population_25km=144463","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
27,50,Lake Resort Beekse Bergen,camp_site,112406.72,f,2026-06-21,84.58,45.14,2.78,17.43,41.57,Vliegbasis Gilze-Rijen,,,15424,15.42,12,1300475,104038,2121,Kampina & Oisterwijkse Vennen,B,2775,2.78,f,OSM sensitive facility 1272703886,school,4,1743,1.74,2,32,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=15424, sensitive_m=1743, ecology_m=2775, weighted_population_25km=104038","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
28,20,Aqua Centrum Bremerbergse Hoek,camp_site,56017.36,f,2026-06-21,84.56,17.62,0.00,46.87,41.49,Lelystad Airport,,,15442,15.44,6,507589,40607,2109,Veluwerandmeren,C,1,0.00,f,Nuborgh College Veluvine,school,4,4687,4.69,0,3,"Recalculated from PostGIS spatial metrics: nearest airport, 25 km Eurostat/GISCO weighted population, nearest Natura 2000 area, and nearest high-sensitivity OSM facility. Raw metrics: airport_m=15442, sensitive_m=4687, ecology_m=1, weighted_population_25km=40607","OpenStreetMap Overpass API, downloaded into stg_osm_candidate_sites"
